obiekt1,obiekt2,sk³adnik_z_ob1,sk³adnik_z_ob2,wart1,wart2
cim:AnalogValue,cim:DiscreteValue,cim:MeasurementValue.MeasurementValueSource.rdf:resource,cim:MeasurementValue.MeasurementValueSource.rdf:resource,#_3f2c1e80a65f4f81a1cc62abbbb790ae,#_3f2c1e80a65f4f81a1cc62abbbb790ae
cim:AnalogValue,cim:DiscreteValue,cim:MeasurementValue.MeasurementValueSource.rdf:resource,cim:MeasurementValue.MeasurementValueSource.rdf:resource,#_3f2c1e80a65f4f81a1cc62abbbb790ae,#_3f2c1e80a65f4f81a1cc62abbbb790ae
cim:AnalogValue,cim:DiscreteValue,cim:MeasurementValue.MeasurementValueSource.rdf:resource,cim:MeasurementValue.MeasurementValueSource.rdf:resource,#_3f2c1e80a65f4f81a1cc62abbbb790ae,#_3f2c1e80a65f4f81a1cc62abbbb790ae
cim:Bay,cim:BusbarSection,cim:Bay.VoltageLevel.rdf:resource,cim:Equipment.EquipmentContainer.rdf:resource,#_f3a764bcdf8a41a8b454f456762282bd,#_f3a764bcdf8a41a8b454f456762282bd
cim:Bay,cim:ConnectivityNode,cim:Bay.VoltageLevel.rdf:resource,cim:ConnectivityNode.ConnectivityNodeContainer.rdf:resource,#_f3a764bcdf8a41a8b454f456762282bd,#_f3a764bcdf8a41a8b454f456762282bd
cim:Bay,cim:ConnectivityNode,cim:Bay.VoltageLevel.rdf:resource,cim:ConnectivityNode.ConnectivityNodeContainer.rdf:resource,#_f3a764bcdf8a41a8b454f456762282bd,#_f3a764bcdf8a41a8b454f456762282bd
cim:Bay,cim:ConnectivityNode,cim:Bay.VoltageLevel.rdf:resource,cim:ConnectivityNode.ConnectivityNodeContainer.rdf:resource,#_f3a764bcdf8a41a8b454f456762282bd,#_f3a764bcdf8a41a8b454f456762282bd
cim:Bay,cim:ConnectivityNode,cim:Bay.VoltageLevel.rdf:resource,cim:ConnectivityNode.ConnectivityNodeContainer.rdf:resource,#_f3a764bcdf8a41a8b454f456762282bd,#_f3a764bcdf8a41a8b454f456762282bd
cim:BaseVoltage,cim:PowerTransformerEnd,cim:BaseVoltage.nominalVoltage.multiplier.rdf:resource,cim:PowerTransformerEnd.ratedS.multiplier.rdf:resource,http://iec.ch/TC57/2012/CIM-schema-cim16#UnitMultiplier.k,http://iec.ch/TC57/2012/CIM-schema-cim16#UnitMultiplier.k
cim:BaseVoltage,cim:PowerTransformerEnd,cim:BaseVoltage.nominalVoltage.multiplier.rdf:resource,cim:PowerTransformerEnd.ratedS.multiplier.rdf:resource,http://iec.ch/TC57/2012/CIM-schema-cim16#UnitMultiplier.k,http://iec.ch/TC57/2012/CIM-schema-cim16#UnitMultiplier.k
cim:BaseVoltage,cim:PowerTransformerEnd,cim:BaseVoltage.nominalVoltage.multiplier.rdf:resource,cim:PowerTransformerEnd.ratedS.multiplier.rdf:resource,http://iec.ch/TC57/2012/CIM-schema-cim16#UnitMultiplier.k,http://iec.ch/TC57/2012/CIM-schema-cim16#UnitMultiplier.k
cim:BaseVoltage,cim:PowerTransformerEnd,cim:BaseVoltage.nominalVoltage.multiplier.rdf:resource,cim:PowerTransformerEnd.ratedS.multiplier.rdf:resource,http://iec.ch/TC57/2012/CIM-schema-cim16#UnitMultiplier.k,http://iec.ch/TC57/2012/CIM-schema-cim16#UnitMultiplier.k
cim:BaseVoltage,cim:Analog,cim:BaseVoltage.nominalVoltage.multiplier.rdf:resource,cim:Measurement.unitMultiplier.rdf:resource,http://iec.ch/TC57/2012/CIM-schema-cim16#UnitMultiplier.k,http://iec.ch/TC57/2012/CIM-schema-cim16#UnitMultiplier.k
cim:BaseVoltage,cim:Analog,cim:BaseVoltage.nominalVoltage.unit.rdf:resource,cim:Measurement.unitSymbol.rdf:resource,http://iec.ch/TC57/2012/CIM-schema-cim16#UnitSymbol.V,http://iec.ch/TC57/2012/CIM-schema-cim16#UnitSymbol.V
cim:BaseVoltage,cim:Analog,cim:BaseVoltage.nominalVoltage.multiplier.rdf:resource,cim:Measurement.unitMultiplier.rdf:resource,http://iec.ch/TC57/2012/CIM-schema-cim16#UnitMultiplier.k,http://iec.ch/TC57/2012/CIM-schema-cim16#UnitMultiplier.k
cim:BaseVoltage,cim:Analog,cim:BaseVoltage.nominalVoltage.unit.rdf:resource,cim:Measurement.unitSymbol.rdf:resource,http://iec.ch/TC57/2012/CIM-schema-cim16#UnitSymbol.V,http://iec.ch/TC57/2012/CIM-schema-cim16#UnitSymbol.V
cim:BaseVoltage,cim:Analog,cim:BaseVoltage.nominalVoltage.multiplier.rdf:resource,cim:Measurement.unitMultiplier.rdf:resource,http://iec.ch/TC57/2012/CIM-schema-cim16#UnitMultiplier.k,http://iec.ch/TC57/2012/CIM-schema-cim16#UnitMultiplier.k
cim:BaseVoltage,cim:Analog,cim:BaseVoltage.nominalVoltage.unit.rdf:resource,cim:Measurement.unitSymbol.rdf:resource,http://iec.ch/TC57/2012/CIM-schema-cim16#UnitSymbol.V,http://iec.ch/TC57/2012/CIM-schema-cim16#UnitSymbol.V
cim:BaseVoltage,cim:Analog,cim:BaseVoltage.nominalVoltage.multiplier.rdf:resource,cim:Measurement.unitMultiplier.rdf:resource,http://iec.ch/TC57/2012/CIM-schema-cim16#UnitMultiplier.k,http://iec.ch/TC57/2012/CIM-schema-cim16#UnitMultiplier.k
cim:BaseVoltage,cim:Analog,cim:BaseVoltage.nominalVoltage.unit.rdf:resource,cim:Measurement.unitSymbol.rdf:resource,http://iec.ch/TC57/2012/CIM-schema-cim16#UnitSymbol.V,http://iec.ch/TC57/2012/CIM-schema-cim16#UnitSymbol.V
cim:BaseVoltage,cim:Analog,cim:BaseVoltage.nominalVoltage.multiplier.rdf:resource,cim:Measurement.unitMultiplier.rdf:resource,http://iec.ch/TC57/2012/CIM-schema-cim16#UnitMultiplier.k,http://iec.ch/TC57/2012/CIM-schema-cim16#UnitMultiplier.k
cim:BaseVoltage,cim:Analog,cim:BaseVoltage.nominalVoltage.multiplier.rdf:resource,cim:Measurement.unitMultiplier.rdf:resource,http://iec.ch/TC57/2012/CIM-schema-cim16#UnitMultiplier.k,http://iec.ch/TC57/2012/CIM-schema-cim16#UnitMultiplier.k
cim:PowerTransformerEnd,cim:Terminal,cim:PowerTransformerEnd.PowerTransformer.rdf:resource,cim:Terminal.ConductingEquipment.rdf:resource,#_8a92cb8fa2d944cfb69950c6f8ec17b7,#_8a92cb8fa2d944cfb69950c6f8ec17b7
cim:ACLineSegment,cim:Disconnector,cim:Equipment.EquipmentContainer.rdf:resource,cim:Equipment.EquipmentContainer.rdf:resource,#_6b59cd145ac4480b937ad579e7315d61,#_6b59cd145ac4480b937ad579e7315d61
cim:ACLineSegment,cim:Disconnector,cim:Equipment.EquipmentContainer.rdf:resource,cim:Equipment.EquipmentContainer.rdf:resource,#_6b59cd145ac4480b937ad579e7315d61,#_6b59cd145ac4480b937ad579e7315d61
cim:ACLineSegment,cim:SeriesCompensator,cim:Equipment.EquipmentContainer.rdf:resource,cim:Equipment.EquipmentContainer.rdf:resource,#_6b59cd145ac4480b937ad579e7315d61,#_6b59cd145ac4480b937ad579e7315d61
cim:ACLineSegment,cim:Disconnector,cim:Equipment.EquipmentContainer.rdf:resource,cim:Equipment.EquipmentContainer.rdf:resource,#_6b59cd145ac4480b937ad579e7315d61,#_6b59cd145ac4480b937ad579e7315d61
cim:ACLineSegment,cim:CurrentTransformer,cim:Equipment.EquipmentContainer.rdf:resource,cim:Equipment.EquipmentContainer.rdf:resource,#_6b59cd145ac4480b937ad579e7315d61,#_6b59cd145ac4480b937ad579e7315d61
